,w_king_x,w_king_y,w_rook_x,w_rook_y,b_king_x,b_king_y,winning_moves,wk_bk,wr_bk,wk_wr,wk_o,wr_o,bk_o
0,1,1,2,3,3,2,17,2.23606797749979,1.4142135623730951,2.23606797749979,4.949747468305833,2.9154759474226504,2.9154759474226504
1,1,1,3,1,3,2,17,2.23606797749979,1.0,2.0,4.949747468305833,3.8078865529319543,2.9154759474226504
2,1,1,3,1,4,1,17,3.0,1.0,2.0,4.949747468305833,3.8078865529319543,3.5355339059327378
3,1,1,3,1,4,2,17,3.1622776601683795,1.4142135623730951,2.0,4.949747468305833,3.8078865529319543,2.5495097567963922
4,1,1,3,2,3,1,17,2.0,1.0,2.23606797749979,4.949747468305833,2.9154759474226504,3.8078865529319543
5,1,1,3,2,3,3,17,2.8284271247461903,1.0,2.23606797749979,4.949747468305833,2.9154759474226504,2.1213203435596424
6,1,1,3,2,4,1,17,3.0,1.4142135623730951,2.23606797749979,4.949747468305833,2.9154759474226504,3.5355339059327378
7,1,1,3,2,4,2,17,3.1622776601683795,1.0,2.23606797749979,4.949747468305833,2.9154759474226504,2.5495097567963922
8,1,1,3,2,4,3,17,3.605551275463989,1.4142135623730951,2.23606797749979,4.949747468305833,2.9154759474226504,1.5811388300841898
9,1,1,3,3,3,2,17,2.23606797749979,1.0,2.8284271247461903,4.949747468305833,2.1213203435596424,2.9154759474226504
10,1,1,3,3,4,2,17,3.1622776601683795,1.4142135623730951,2.8284271247461903,4.949747468305833,2.1213203435596424,2.5495097567963922
11,1,1,3,3,4,3,17,3.605551275463989,1.0,2.8284271247461903,4.949747468305833,2.1213203435596424,1.5811388300841898
12,1,1,3,3,4,4,17,4.242640687119285,1.4142135623730951,2.8284271247461903,4.949747468305833,2.1213203435596424,0.7071067811865476
13,1,1,3,4,4,3,17,3.605551275463989,1.4142135623730951,3.605551275463989,4.949747468305833,1.5811388300841898,1.5811388300841898
14,1,1,4,1,3,1,17,2.0,1.0,3.0,4.949747468305833,3.5355339059327378,3.8078865529319543
15,1,1,4,1,3,2,17,2.23606797749979,1.4142135623730951,3.0,4.949747468305833,3.5355339059327378,2.9154759474226504
16,1,1,4,1,4,2,17,3.1622776601683795,1.0,3.0,4.949747468305833,3.5355339059327378,2.5495097567963922
17,1,1,4,1,5,1,17,4.0,1.0,3.0,4.949747468305833,3.5355339059327378,3.5355339059327378
18,1,1,4,1,5,2,17,4.123105625617661,1.4142135623730951,3.0,4.949747468305833,3.5355339059327378,2.5495097567963922
19,1,1,4,2,3,1,17,2.0,1.4142135623730951,3.1622776601683795,4.949747468305833,2.5495097567963922,3.8078865529319543
20,1,1,4,2,3,2,17,2.23606797749979,1.0,3.1622776601683795,4.949747468305833,2.5495097567963922,2.9154759474226504
